director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Jaume Collet-Serra,Dwayne Johnson,Emily Blunt,Édgar Ramírez,Action Adventure Fantasy,jungle cruise,Dwayne Johnson Emily Blunt Édgar Ramírez Jaume Collet-Serra Action Adventure Fantasy
Tom McCarthy,Matt Damon,Camille Cottin,Abigail Breslin,Drama Crime Thriller,stillwater,Matt Damon Camille Cottin Abigail Breslin Tom McCarthy Drama Crime Thriller
David Lowery,Dev Patel,Alicia Vikander,Joel Edgerton,Adventure Drama Fantasy,the green knight,Dev Patel Alicia Vikander Joel Edgerton David Lowery Adventure Drama Fantasy
Edson Oda,Winston Duke,Zazie Beetz,Benedict Wong,Drama Fantasy,nine days,Winston Duke Zazie Beetz Benedict Wong Edson Oda Drama Fantasy
Trent O'Donnell,Jake Johnson,D'Arcy Carden,J.K. Simmons,Comedy Drama,ride the eagle,Jake Johnson D'Arcy Carden J.K. Simmons Trent O'Donnell Comedy Drama
Braden King,Philip Ettinger,Stacy Martin,Cosmo Jarvis,Drama,the evening hour,Philip Ettinger Stacy Martin Cosmo Jarvis Braden King Drama
Sabrina Doyle,Pablo Schreiber,Jena Malone,unknown,Drama,lorelei,Pablo Schreiber Jena Malone unknown Sabrina Doyle Drama
Sonia Kennebeck,Sonia Kennebeck (director),unknown,unknown,Documentary,enemies of the state,Sonia Kennebeck (director) unknown unknown Sonia Kennebeck Documentary
James Gunn,Idris Elba,Margot Robbie,John Cena,Action Comedy Adventure,the suicide squad,Idris Elba Margot Robbie John Cena James Gunn Action Comedy Adventure
Chase Palmer,John Boyega,Olivia Cooke,Bill Skarsgård,Crime Drama,naked singularity,John Boyega Olivia Cooke Bill Skarsgård Chase Palmer Crime Drama
Pascual Sisto,Charlie Shotwell,Michael C. Hall,Jennifer Ehle,Drama Thriller Horror,john and the hole,Charlie Shotwell Michael C. Hall Jennifer Ehle Pascual Sisto Drama Thriller Horror
Kirk DeMicco,Lin-Manuel Miranda,Ynairaly Simo,Zoe Saldana,Animation Family Comedy,vivo,Lin-Manuel Miranda Ynairaly Simo Zoe Saldana Kirk DeMicco Animation Family Comedy
Scott Brignac,Hannah Kasulka,Luke Benward,Jude Demorest,Drama Action Thriller Crime,playing god,Hannah Kasulka Luke Benward Jude Demorest Scott Brignac Drama Action Thriller Crime
Todd Stephens,Udo Kier,Jennifer Coolidge,Linda Evans,Comedy Drama,swan song,Udo Kier Jennifer Coolidge Linda Evans Todd Stephens Comedy Drama
Nick Cannon,Nick Cannon,Chris Brown,Jaliyuh Manuel,Drama,she ball,Nick Cannon Chris Brown Jaliyuh Manuel Nick Cannon Drama
Vince Marcello,Joey King,Joel Courtney,Jacob Elordi,Romance Comedy,the kissing booth 3,Joey King Joel Courtney Jacob Elordi Vince Marcello Romance Comedy
Peter Nicks,Peter Nicks (director),unknown,unknown,Documentary,homeroom,Peter Nicks (director) unknown unknown Peter Nicks Documentary
Shawn Levy,Ryan Reynolds,Jodie Comer,Lil Rel Howery,Comedy Adventure Science Fiction,free guy,Ryan Reynolds Jodie Comer Lil Rel Howery Shawn Levy Comedy Adventure Science Fiction
Liesl Tommy,Jennifer Hudson,Forest Whitaker,Marlon Wayans,Drama Music History,respect,Jennifer Hudson Forest Whitaker Marlon Wayans Liesl Tommy Drama Music History
Ferdinando Cito Filomarino,John David Washington,Boyd Holbrook,Vicky Krieps,Crime Mystery Thriller,beckett,John David Washington Boyd Holbrook Vicky Krieps Ferdinando Cito Filomarino Crime Mystery Thriller
Rodo Sayagues,Stephen Lang,Brendan Sexton III,Madelyn Grace,Thriller Horror,don't breathe 2,Stephen Lang Brendan Sexton III Madelyn Grace Rodo Sayagues Thriller Horror
Sian Heder,Emilia Jones,Eugenio Derbez,Troy Kotsur,Drama Music Romance,coda,Emilia Jones Eugenio Derbez Troy Kotsur Sian Heder Drama Music Romance
Nicholas Bruckman,Amanda Roddy (screenplay),unknown,unknown,Documentary,not going quietly,Amanda Roddy (screenplay) unknown unknown Nicholas Bruckman Documentary
Lisa Joy,Hugh Jackman,Rebecca Ferguson,Thandiwe Newton,Mystery Science Fiction,reminiscence,Hugh Jackman Rebecca Ferguson Thandiwe Newton Lisa Joy Mystery Science Fiction
Martin Campbell,Michael Keaton,Maggie Q,Samuel L. Jackson,Action Thriller,the protégé,Michael Keaton Maggie Q Samuel L. Jackson Martin Campbell Action Thriller
Brian Andrew Mendoza,Jason Momoa,Isabela Merced,Manuel Garcia-Rulfo,Action Thriller Drama,sweet girl,Jason Momoa Isabela Merced Manuel Garcia-Rulfo Brian Andrew Mendoza Action Thriller Drama
Dave Needham,Dave Needham (director); Asher Bishop,David Tennant,Michelle Gomez,Animation Family Comedy Adventure Fantasy,the loud house movie,Dave Needham (director); Asher Bishop David Tennant Michelle Gomez Dave Needham Animation Family Comedy Adventure Fantasy
David Bruckner,Rebecca Hall,Sarah Goldberg,Evan Jonigkeit,Drama Horror Mystery Thriller,the night house,Rebecca Hall Sarah Goldberg Evan Jonigkeit David Bruckner Drama Horror Mystery Thriller
Sean Penn,Dylan Penn,Sean Penn,Katheryn Winnick,Drama Thriller Crime,flag day,Dylan Penn Sean Penn Katheryn Winnick Sean Penn Drama Thriller Crime
Dash Shaw,Lake Bell,Michael Cera,Angeliki Papoulia,Animation Fantasy,cryptozoo,Lake Bell Michael Cera Angeliki Papoulia Dash Shaw Animation Fantasy
Janell Shirtcliff,Josie Ho,Bella Thorne,Gavin Rossdale,Crime Thriller Comedy,habit,Josie Ho Bella Thorne Gavin Rossdale Janell Shirtcliff Crime Thriller Comedy
Neill Blomkamp,Carly Pope,Chris William Martin,Michael Rogers,Drama Horror Science Fiction,demonic,Carly Pope Chris William Martin Michael Rogers Neill Blomkamp Drama Horror Science Fiction
Leos Carax,Adam Driver,Marion Cotillard,Simon Helberg,Drama Romance,annette,Adam Driver Marion Cotillard Simon Helberg Leos Carax Drama Romance
Eddie Arya,Caroline McQuade,Kenneth Trujillo,Wassim Hawat,Action Adventure Drama Fantasy,risen,Caroline McQuade Kenneth Trujillo Wassim Hawat Eddie Arya Action Adventure Drama Fantasy
Kwang Il Han,Theo James,Lara Pulver,Graham McTavish,Animation Action Fantasy,the witcher: nightmare of the wolf,Theo James Lara Pulver Graham McTavish Kwang Il Han Animation Action Fantasy
Angel Kristi Williams,Kofi Siriboe,Yootha Wong-Loi-Sing,Blair Underwood,Romance Drama,really love,Kofi Siriboe Yootha Wong-Loi-Sing Blair Underwood Angel Kristi Williams Romance Drama
Nia DaCosta,Yahya Abdul-Mateen II,Teyonah Parris,Nathan Stewart-Jarrett,Horror Mystery Thriller,candyman,Yahya Abdul-Mateen II Teyonah Parris Nathan Stewart-Jarrett Nia DaCosta Horror Mystery Thriller
Clay Tarver,John Cena,Lil Rel Howery,Yvonne Orji,Comedy,vacation friends,John Cena Lil Rel Howery Yvonne Orji Clay Tarver Comedy
Mark Waters,Addison Rae,Tanner Buchanan,Madison Pettis,Comedy Romance,he's all that,Addison Rae Tanner Buchanan Madison Pettis Mark Waters Comedy Romance
Amber Sealey,Elijah Wood,Luke Kirby,Aleksa Palladino,Crime Drama Thriller History,no man of god,Elijah Wood Luke Kirby Aleksa Palladino Amber Sealey Crime Drama Thriller History
Vibeke Muasya,Vibeke Muasya (director); Siobhan Fallon Hogan (screenplay),Siobhan Fallon Hogan,Robert Patrick,Mystery Thriller Horror Drama Crime,rushed,Vibeke Muasya (director); Siobhan Fallon Hogan (screenplay) Siobhan Fallon Hogan Robert Patrick Vibeke Muasya Mystery Thriller Horror Drama Crime
Stephen Herek,Victoria Justice,Midori Francis,Timothy Renouf,Fantasy Comedy Drama,afterlife of the party,Victoria Justice Midori Francis Timothy Renouf Stephen Herek Fantasy Comedy Drama
Destin Daniel Cretton,Simu Liu,Awkwafina,Meng'er Zhang,Action Adventure Fantasy,shang-chi and the legend of the ten rings,Simu Liu Awkwafina Meng'er Zhang Destin Daniel Cretton Action Adventure Fantasy
"Kay Cannon (director/screenwriter); Camila Cabello, Idina Menzel, Nicholas Galitzine, Minnie Driver, Pierce Brosnan, Billy Porter",Kay Cannon (director/screenwriter); Camila Cabello,Idina Menzel,Nicholas Galitzine,Romance Fantasy Family Drama,cinderella,"Kay Cannon (director/screenwriter); Camila Cabello Idina Menzel Nicholas Galitzine Kay Cannon (director/screenwriter); Camila Cabello, Idina Menzel, Nicholas Galitzine, Minnie Driver, Pierce Brosnan, Billy Porter Romance Fantasy Family Drama"
Sara Colangelo,Michael Keaton,Stanley Tucci,Amy Ryan,History Drama,worth,Michael Keaton Stanley Tucci Amy Ryan Sara Colangelo History Drama
Michele Civetta,Shea Whigham,Olivia Munn,Frank Grillo,Drama Thriller,the gateway,Shea Whigham Olivia Munn Frank Grillo Michele Civetta Drama Thriller
Lyle Mitchell Corbine Jr.,Michael Greyeyes,Chaske Spencer,Jesse Eisenberg,Thriller Crime Drama,wild indian,Michael Greyeyes Chaske Spencer Jesse Eisenberg Lyle Mitchell Corbine Jr. Thriller Crime Drama
Sean King O'Grady,Sean King O'Grady (director); Max Booth III (screenwriter); Sierra McCormick,Vinessa Shaw,Pat Healy,Horror Mystery,we need to do something,Sean King O'Grady (director); Max Booth III (screenwriter); Sierra McCormick Vinessa Shaw Pat Healy Sean King O'Grady Horror Mystery
Cedric Nicolas-Troyan,Mary Elizabeth Winstead,Miku Martineau,Woody Harrelson,Action,kate,Mary Elizabeth Winstead Miku Martineau Woody Harrelson Cedric Nicolas-Troyan Action
Jonathan Butterell,Max Harwood,Sarah Lancashire,Lauren Patel,Drama Comedy,everybody's talking about jamie,Max Harwood Sarah Lancashire Lauren Patel Jonathan Butterell Drama Comedy
James Wan,Annabelle Wallis,Maddie Hasson,George Young,Horror,malignant,Annabelle Wallis Maddie Hasson George Young James Wan Horror
"Aron Gaudet, Gita Pullapilly (directors/screenplay); Kristen Bell, Kirby Howell-Baptiste, Paul Walter Hauser, Bebe Rexha, Vince Vaughn",Kristen Bell,Kirby Howell-Baptiste,Paul Walter Hauser,Comedy Crime,queenpins,"Kristen Bell Kirby Howell-Baptiste Paul Walter Hauser Aron Gaudet, Gita Pullapilly (directors/screenplay); Kristen Bell, Kirby Howell-Baptiste, Paul Walter Hauser, Bebe Rexha, Vince Vaughn Comedy Crime"
Paul Schrader,Oscar Isaac,Tiffany Haddish,Tye Sheridan,Drama Thriller,the card counter,Oscar Isaac Tiffany Haddish Tye Sheridan Paul Schrader Drama Thriller
Christopher Ashley,Petrina Bromley,Jenn Colella,De'Lon Grant,Comedy Drama,come from away,Petrina Bromley Jenn Colella De'Lon Grant Christopher Ashley Comedy Drama
Michael Mohan,Sydney Sweeney,Justice Smith,Ben Hardy,Thriller,the voyeurs,Sydney Sweeney Justice Smith Ben Hardy Michael Mohan Thriller
John Pollono,Jon Bernthal,Shea Whigham,Jordana Spiro,Crime Drama Thriller,small engine repair,Jon Bernthal Shea Whigham Jordana Spiro John Pollono Crime Drama Thriller
Natalie Morales,Natalie Morales (director/screenplay),Mark Duplass (screenplay),Natalie Morales,Drama Comedy Romance,language lessons,Natalie Morales (director/screenplay) Mark Duplass (screenplay) Natalie Morales Natalie Morales Drama Comedy Romance
Rick Altizer,Rick Altizer (director); Sherman Smith,Tony Evans,Steven Kendrick,Documentary,show me the father,Rick Altizer (director); Sherman Smith Tony Evans Steven Kendrick Rick Altizer Documentary
Michael Feifer,Jay Pickett,Peter Facinelli,Tom Skerritt,Western Action,catch the bullet,Jay Pickett Peter Facinelli Tom Skerritt Michael Feifer Western Action
Jonah Feingold,Francesca Reale,Jaboukie Young-White,Catherine Cohen,,dating and new york,
"Scott B. Hansen, Desiree Connell",Zach Galligan,Derek Russo,Corey Taylor,Horror,bad candy,"Zach Galligan Derek Russo Corey Taylor Scott B. Hansen, Desiree Connell Horror"
Kevin T. Morales,Bridget McGarry,Victoria Leigh,Okieriete Onaodowan,Comedy Drama,generation wrecks,Bridget McGarry Victoria Leigh Okieriete Onaodowan Kevin T. Morales Comedy Drama
Christian Carion,James McAvoy,Claire Foy,Gary Lewis,Thriller Crime Drama,my son,James McAvoy Claire Foy Gary Lewis Christian Carion Thriller Crime Drama
David Yarovesky,Winslow Fegley,Lidya Jewett,Krysten Ritter,Fantasy Family Horror,nightbooks,Winslow Fegley Lidya Jewett Krysten Ritter David Yarovesky Fantasy Family Horror
Theodore Melfi,Theodore Melfi (director); Matt Harris (screenpaly); Melissa McCarthy,Chris O'Dowd,Timothy Olyphant,Drama,the starling,Theodore Melfi (director); Matt Harris (screenpaly); Melissa McCarthy Chris O'Dowd Timothy Olyphant Theodore Melfi Drama
Michael Showalter,Jessica Chastain,Andrew Garfield,Cherry Jones,Drama History,the eyes of tammy faye,Jessica Chastain Andrew Garfield Cherry Jones Michael Showalter Drama History
Clint Eastwood,Clint Eastwood,Dwight Yoakam,Eduardo Minett,Drama Western,cry macho,Clint Eastwood Dwight Yoakam Eduardo Minett Clint Eastwood Drama Western
Joe Carnahan,Gerard Butler,Frank Grillo,Alexis Louder,Thriller Crime Action,copshop,Gerard Butler Frank Grillo Alexis Louder Joe Carnahan Thriller Crime Action
Justin Chon,Justin Chon,Alicia Vikander,Mark O'Brien,Drama,blue bayou,Justin Chon Alicia Vikander Mark O'Brien Justin Chon Drama
Sion Sono,Nicolas Cage,Sofia Boutella,Bill Moseley,Action Fantasy Horror,prisoners of the ghostland,Nicolas Cage Sofia Boutella Bill Moseley Sion Sono Action Fantasy Horror
Lina Roessler,Michael Caine,Aubrey Plaza,Scott Speedman,Comedy Drama,best sellers,Michael Caine Aubrey Plaza Scott Speedman Lina Roessler Comedy Drama
"Justin Long, Christian Long (directors/screenplay); Melanie Lynskey, Judy Greer, Justin Long, Ryan Phillippe, Luis Guzmán",Melanie Lynskey,Judy Greer,Justin Long,Comedy Fantasy,lady of the manor,"Melanie Lynskey Judy Greer Justin Long Justin Long, Christian Long (directors/screenplay); Melanie Lynskey, Judy Greer, Justin Long, Ryan Phillippe, Luis Guzmán Comedy Fantasy"
Bill Benz,Annie Clark,Carrie Brownstein,Dakota Johnson,Music Comedy Thriller,the nowhere inn,Annie Clark Carrie Brownstein Dakota Johnson Bill Benz Music Comedy Thriller
