director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Jason Eisener,Dominic Mariche,Phoebe Rex,Calem MacDonald,Science Fiction Horror Action,kids vs. aliens,Dominic Mariche Phoebe Rex Calem MacDonald Jason Eisener Science Fiction Horror Action
Russell Mulcahy,Tyler Posey,Crystal Reed,Tyler Hoechlin,Action Fantasy TV Movie,teen wolf: the movie,Tyler Posey Crystal Reed Tyler Hoechlin Russell Mulcahy Action Fantasy TV Movie
Kenya Barris,Jonah Hill,Lauren London,David Duchovny,Romance Comedy,you people,Jonah Hill Lauren London David Duchovny Kenya Barris Romance Comedy
Jason Moore,Jennifer Lopez,Josh Duhamel,Sônia Braga,Action Comedy Romance,shotgun wedding,Jennifer Lopez Josh Duhamel Sônia Braga Jason Moore Action Comedy Romance
Michael Jacobs,Diane Keaton,Richard Gere,Susan Sarandon,Comedy Romance Drama,maybe i do,Diane Keaton Richard Gere Susan Sarandon Michael Jacobs Comedy Romance Drama
Cecilia Miniucchi,Danny Huston,Radha Mitchell,Bob Odenkirk,Comedy Drama Romance,life upside down,Danny Huston Radha Mitchell Bob Odenkirk Cecilia Miniucchi Comedy Drama Romance
Deon Taylor,Joseph Sikora,King Bach,Annie Ilonzeh,Horror Drama,fear,Joseph Sikora King Bach Annie Ilonzeh Deon Taylor Horror Drama
M. Night Shyamalan,Dave Bautista,Jonathan Groff,Ben Aldridge,Thriller Mystery Horror,knock at the cabin,Dave Bautista Jonathan Groff Ben Aldridge M. Night Shyamalan Thriller Mystery Horror
Kyle Marvin,Lily Tomlin,Jane Fonda,Rita Moreno,Comedy Drama,80 for brady,Lily Tomlin Jane Fonda Rita Moreno Kyle Marvin Comedy Drama
Nicolas Harvard,Ryan Phillippe,Kate Bosworth,Ving Rhames,Mystery Thriller Action Crime Drama,the locksmith,Ryan Phillippe Kate Bosworth Ving Rhames Nicolas Harvard Mystery Thriller Action Crime Drama
Bess Wohl,Noémie Merlant,Kit Harington,Meredith Hagner,Horror Thriller Drama,baby ruby,Noémie Merlant Kit Harington Meredith Hagner Bess Wohl Horror Thriller Drama
Brett Smith,Gerran Howell,RJ Cyler,Ewen Bremner,Drama History War,freedom's path,Gerran Howell RJ Cyler Ewen Bremner Brett Smith Drama History War
Chris Soriano,Chris Soriano,Christine S. Chang,Hillary Soriano,Romance Comedy,the wedding hustler,Chris Soriano Christine S. Chang Hillary Soriano Chris Soriano Romance Comedy
Steven Soderbergh,Channing Tatum,Salma Hayek Pinault,unknown,Comedy Drama Romance,magic mike's last dance,Channing Tatum Salma Hayek Pinault unknown Steven Soderbergh Comedy Drama Romance
Benjamin Caron,Julianne Moore,Sebastian Stan,Justice Smith,Thriller Crime Drama,sharper,Julianne Moore Sebastian Stan Justice Smith Benjamin Caron Thriller Crime Drama
Aline Brosh McKenna,Reese Witherspoon,Ashton Kutcher,Jesse Williams,Romance Comedy,your place or mine,Reese Witherspoon Ashton Kutcher Jesse Williams Aline Brosh McKenna Romance Comedy
Dave Franco,Alison Brie,Jay Ellis,Kiersey Clemons,Romance Comedy Drama,somebody i used to know,Alison Brie Jay Ellis Kiersey Clemons Dave Franco Romance Comedy Drama
Christopher Smith,Jena Malone,Danny Huston,Janet Suzman,Horror Thriller,consecration,Jena Malone Danny Huston Janet Suzman Christopher Smith Horror Thriller
Robbie Banfitch,Robbie Banfitch,Angela Basolis,Scott Schamell,Horror Science Fiction Thriller,the outwaters,Robbie Banfitch Angela Basolis Scott Schamell Robbie Banfitch Horror Science Fiction Thriller
Peyton Reed,Paul Rudd,Evangeline Lilly,Jonathan Majors,Action Adventure Science Fiction,ant-man and the wasp: quantumania,Paul Rudd Evangeline Lilly Jonathan Majors Peyton Reed Action Adventure Science Fiction
Elizabeth Banks,Keri Russell,O'Shea Jackson Jr.,Christian Convery,Thriller Comedy Crime,cocaine bear,Keri Russell O'Shea Jackson Jr. Christian Convery Elizabeth Banks Thriller Comedy Crime
Christopher Landon,David Harbour,Anthony Mackie,Jahi Di'Allo Winston,Comedy Fantasy Family Adventure Horror,we have a ghost,David Harbour Anthony Mackie Jahi Di'Allo Winston Christopher Landon Comedy Fantasy Family Adventure Horror
Jamie Payne,Idris Elba,Cynthia Erivo,Andy Serkis,Crime Mystery Thriller,luther: the fallen sun,Idris Elba Cynthia Erivo Andy Serkis Jamie Payne Crime Mystery Thriller
"Jon Erwin, Brent McCorkle",Joel Courtney,Anna Grace Barlow,Jonathan Roumie,Drama History,jesus revolution,"Joel Courtney Anna Grace Barlow Jonathan Roumie Jon Erwin, Brent McCorkle Drama History"
Miles Warren,Trevante Rhodes,Jalyn Hall,Shinelle Azoroh,Drama,bruiser,Trevante Rhodes Jalyn Hall Shinelle Azoroh Miles Warren Drama
Colin West,Jim Gaffigan,Rhea Seehorn,Katelyn Nacon,Science Fiction Comedy Drama,linoleum,Jim Gaffigan Rhea Seehorn Katelyn Nacon Colin West Science Fiction Comedy Drama
Daniel Antebi,Ben Groh,Dion Costelloe,Liz Caribel Sierra,Comedy Drama,god's time,Ben Groh Dion Costelloe Liz Caribel Sierra Daniel Antebi Comedy Drama
Michael B. Jordan,Michael B. Jordan,Tessa Thompson,Jonathan Majors,Drama Action,creed iii,Michael B. Jordan Tessa Thompson Jonathan Majors Michael B. Jordan Drama Action
Guy Ritchie,Jason Statham,Aubrey Plaza,Josh Hartnett,Action Thriller Comedy Adventure,operation fortune: ruse de guerre,Jason Statham Aubrey Plaza Josh Hartnett Guy Ritchie Action Thriller Comedy Adventure
Michael Maren,Michael Shannon,Kate Hudson,Don Johnson,Comedy,a little white lie,Michael Shannon Kate Hudson Don Johnson Michael Maren Comedy
Kurt Wimmer,Elena Kampouris,Kate Moyer,Callan Mulvey,Horror Thriller,children of the corn,Elena Kampouris Kate Moyer Callan Mulvey Kurt Wimmer Horror Thriller
Jamie Dack,Lily McInerny,Jonathan Tucker,Gretchen Mol,Drama,palm trees and power lines,Lily McInerny Jonathan Tucker Gretchen Mol Jamie Dack Drama
Alex Heller,Alex Heller,J. Smith-Cameron,Steve Buscemi,Comedy Drama,the year between,Alex Heller J. Smith-Cameron Steve Buscemi Alex Heller Comedy Drama
Yoko Okumura,Midori Francis,Jolene Purdy,Missi Pyle,Thriller Horror Mystery,unseen,Midori Francis Jolene Purdy Missi Pyle Yoko Okumura Thriller Horror Mystery
J. Horton,Rachel Amanda Bryant,Al Gomez,Gregory Blair,Crime Horror Thriller,craving,Rachel Amanda Bryant Al Gomez Gregory Blair J. Horton Crime Horror Thriller
"Matt Bettinelli-Olpin, Tyler Gillett",Melissa Barrera,Jasmin Savoy Brown,Jack Champion,Horror Crime Thriller,scream vi,"Melissa Barrera Jasmin Savoy Brown Jack Champion Matt Bettinelli-Olpin, Tyler Gillett Horror Crime Thriller"
"Scott Beck, Bryan Woods",Adam Driver,Ariana Greenblatt,Chloe Coleman,Science Fiction Action Thriller,65,"Adam Driver Ariana Greenblatt Chloe Coleman Scott Beck, Bryan Woods Science Fiction Action Thriller"
Bobby Farrelly,Woody Harrelson,Kaitlin Olson,Ernie Hudson,Comedy Drama,champions,Woody Harrelson Kaitlin Olson Ernie Hudson Bobby Farrelly Comedy Drama
Jingyi Shao,Bloom Li,Ben Wang,Dexter Darden,Family Comedy Drama,chang can dunk,Bloom Li Ben Wang Dexter Darden Jingyi Shao Family Comedy Drama
Jeffrey A. Smith,Max Ehrich,Katelyn Nacon,J. Alphonse Nicholson,History Drama Music,southern gospel,Max Ehrich Katelyn Nacon J. Alphonse Nicholson Jeffrey A. Smith History Drama Music
David F. Sandberg,Zachary Levi,Asher Angel,Jack Dylan Grazer,Comedy Action Fantasy,shazam! fury of the gods,Zachary Levi Asher Angel Jack Dylan Grazer David F. Sandberg Comedy Action Fantasy
Matt Ruskin,Keira Knightley,Carrie Coon,Alessandro Nivola,Crime Mystery Thriller,boston strangler,Keira Knightley Carrie Coon Alessandro Nivola Matt Ruskin Crime Mystery Thriller
Wendy Rogers,Noah Jupe,Benedict Wong,Sian Clifford,Animation Adventure Family Fantasy Comedy,the magician's elephant,Noah Jupe Benedict Wong Sian Clifford Wendy Rogers Animation Adventure Family Fantasy Comedy
Paul Weitz,Jane Fonda,Lily Tomlin,Malcolm McDowell,Comedy Drama,moving on,Jane Fonda Lily Tomlin Malcolm McDowell Paul Weitz Comedy Drama
Matt Smukler,Kiernan Shipka,Dash Mihok,Charlie Plummer,Comedy Drama,wildflower,Kiernan Shipka Dash Mihok Charlie Plummer Matt Smukler Comedy Drama
Herbert James Winterstern,Skeet Ulrich,Anne Heche,Daniel Diemer,Action Drama,supercell,Skeet Ulrich Anne Heche Daniel Diemer Herbert James Winterstern Action Drama
"The Bragg Brothers (directors/screenplay); Mike Faist, Crystal Reed, Dennis Boutsikaris",Mike Faist,Crystal Reed,Dennis Boutsikaris,Comedy Drama History Romance,pinball: the man who saved the game,"Mike Faist Crystal Reed Dennis Boutsikaris The Bragg Brothers (directors/screenplay); Mike Faist, Crystal Reed, Dennis Boutsikaris Comedy Drama History Romance"
Chad Stahelski,Keanu Reeves,Donnie Yen,Bill Skarsgård,Action Thriller Crime,john wick: chapter 4,Keanu Reeves Donnie Yen Bill Skarsgård Chad Stahelski Action Thriller Crime
Zach Braff,Florence Pugh,Molly Shannon,Chinaza Uche,Drama Comedy,a good person,Florence Pugh Molly Shannon Chinaza Uche Zach Braff Drama Comedy
Jordan Ross,Garrett Hedlund,Noah Schnapp,Victoria Justice,Mystery Thriller Action,the tutor,Garrett Hedlund Noah Schnapp Victoria Justice Jordan Ross Mystery Thriller Action
Tanel Toom,Kate Bosworth,Thomas Kretschmann,Lucien Laviscount,Science Fiction Thriller,last sentinel,Kate Bosworth Thomas Kretschmann Lucien Laviscount Tanel Toom Science Fiction Thriller
Jacob Byrd,Sydney Carvill,Wade Baker Janet Carter,Rob Shuster,Horror Mystery Drama,adalynn,Sydney Carvill Wade Baker Janet Carter Rob Shuster Jacob Byrd Horror Mystery Drama
"John Francis Daley, Jonathan Goldstein (directors/screenplay); Michael Gilio (screenplay); Chris Pine, Michelle Rodriguez, Regé-Jean Page, Justice Smith, Sophia Lillis, Hugh Grant",Chris Pine,Michelle Rodriguez,Regé-Jean Page,Adventure Fantasy Comedy,dungeons & dragons: honor among thieves,"Chris Pine Michelle Rodriguez Regé-Jean Page John Francis Daley, Jonathan Goldstein (directors/screenplay); Michael Gilio (screenplay); Chris Pine, Michelle Rodriguez, Regé-Jean Page, Justice Smith, Sophia Lillis, Hugh Grant Adventure Fantasy Comedy"
Jeremy Garelick,Adam Sandler,Jennifer Aniston,Mélanie Laurent,Mystery Comedy Crime,murder mystery 2,Adam Sandler Jennifer Aniston Mélanie Laurent Jeremy Garelick Mystery Comedy Crime
Jon S. Baird,Taron Egerton,Nikita Efremov,Sofia Lebedeva,Thriller History Drama,tetris,Taron Egerton Nikita Efremov Sofia Lebedeva Jon S. Baird Thriller History Drama
Timothy Scott Bogart,Jeremy Jordan,Wiz Khalifa,Jason Isaacs,Music Drama,spinning gold,Jeremy Jordan Wiz Khalifa Jason Isaacs Timothy Scott Bogart Music Drama
Kyra Sedgwick,Kyle Allen,Alexandra Shipp,Madeline Brewer,Comedy Romance Science Fiction Drama,space oddity,Kyle Allen Alexandra Shipp Madeline Brewer Kyra Sedgwick Comedy Romance Science Fiction Drama
A.V. Rockwell,Teyana Taylor,Will Catlett,Josiah Cross,Drama Crime,a thousand and one,Teyana Taylor Will Catlett Josiah Cross A.V. Rockwell Drama Crime
Jesse Atlas,Nomzamo Mbatha,Dominic Purcell,Bruce Willis,Action Thriller Science Fiction Crime,assassin,Nomzamo Mbatha Dominic Purcell Bruce Willis Jesse Atlas Action Thriller Science Fiction Crime
Alex Lehmann,Thomas Haden Church,Dianna Agron,unknown,Drama,acidman,Thomas Haden Church Dianna Agron unknown Alex Lehmann Drama
Anthony DiBlasi,Jessica Sula,Candice Coke,Chaney Morrow,Horror,malum,Jessica Sula Candice Coke Chaney Morrow Anthony DiBlasi Horror
Eddie McClintock,Eddie McClintock,Dean Cain,Daniel Roebuck,Family,miracle at manchester,Eddie McClintock Dean Cain Daniel Roebuck Eddie McClintock Family
"Aaron Horvath, Michael Jelenic",Chris Pratt,Anya Taylor-Joy,Charlie Day,Animation Family Adventure Fantasy Comedy,the super mario bros. movie,"Chris Pratt Anya Taylor-Joy Charlie Day Aaron Horvath, Michael Jelenic Animation Family Adventure Fantasy Comedy"
Ben Affleck,Matt Damon,Ben Affleck,Jason Bateman,Drama,air,Matt Damon Ben Affleck Jason Bateman Ben Affleck Drama
Tina Gordon Chism,Chloe Bailey,Anjelika Washington,Philip Fornah,Music Romance Comedy,praise this,Chloe Bailey Anjelika Washington Philip Fornah Tina Gordon Chism Music Romance Comedy
Kelly Reichardt,Michelle Williams,Hong Chau,Maryann Plunkett,Comedy Drama,showing up,Michelle Williams Hong Chau Maryann Plunkett Kelly Reichardt Comedy Drama
Brit McAdams,Owen Wilson,Michaela Watkins,Wendi McLendon-Covey,Comedy Drama Romance,paint,Owen Wilson Michaela Watkins Wendi McLendon-Covey Brit McAdams Comedy Drama Romance
Sean McNamara,Dennis Quaid,Heather Graham,Jesse Metcalfe,Drama,on a wing and a prayer,Dennis Quaid Heather Graham Jesse Metcalfe Sean McNamara Drama
Jonás Cuarón,Demián Bichir,Christian Slater,Evan Whitten,Adventure Fantasy Family,chupa,Demián Bichir Christian Slater Evan Whitten Jonás Cuarón Adventure Fantasy Family
Daniel Goldhaber,Ariela Barer,Kristine Froseth,Lukas Gage,Crime Drama Thriller,how to blow up a pipeline,Ariela Barer Kristine Froseth Lukas Gage Daniel Goldhaber Crime Drama Thriller
Andy Fickman,Phillipa Soo,Simu Liu,Luke Bracey,Romance Drama Comedy,one true loves,Phillipa Soo Simu Liu Luke Bracey Andy Fickman Romance Drama Comedy
Roger Kumble,Dylan Sprouse,Virginia Gardner,Austin North,Romance Drama Comedy,beautiful disaster,Dylan Sprouse Virginia Gardner Austin North Roger Kumble Romance Drama Comedy
Chris McKay,Nicholas Hoult,Nicolas Cage,Awkwafina,Comedy Horror,renfield,Nicholas Hoult Nicolas Cage Awkwafina Chris McKay Comedy Horror
Ari Aster,Joaquin Phoenix,Patti LuPone,Nathan Lane,Comedy Adventure Fantasy,beau is afraid,Joaquin Phoenix Patti LuPone Nathan Lane Ari Aster Comedy Adventure Fantasy
Julius Avery,Russell Crowe,Alex Essoe,Daniel Zovatto,Horror Thriller,the pope's exorcist,Russell Crowe Alex Essoe Daniel Zovatto Julius Avery Horror Thriller
Catherine Hardwicke,Toni Collette,Monica Bellucci,Sophia Nomvete,Comedy Crime Action,mafia mamma,Toni Collette Monica Bellucci Sophia Nomvete Catherine Hardwicke Comedy Crime Action
Martin Guigui,Everett Osborne,Cary Elwes,Jeremy Piven,Western Thriller,sweetwater,Everett Osborne Cary Elwes Jeremy Piven Martin Guigui Western Thriller
Chuck Konzelman and Cary Solomon,Sean Patrick Flanery,Jordan Belfi,unknown,Horror Thriller,nefarious,Sean Patrick Flanery Jordan Belfi unknown Chuck Konzelman and Cary Solomon Horror Thriller
Katie Holmes,Julie Mayorga,Katie Holmes,Derek Luke,Drama,rare objects,Julie Mayorga Katie Holmes Derek Luke Katie Holmes Drama
Kevin Heffernan,Jay Chandrasekhar,Kevin Heffernan,Steve Lemme,Comedy Drama,quasi,Jay Chandrasekhar Kevin Heffernan Steve Lemme Kevin Heffernan Comedy Drama
Lee Cronin,Lily Sullivan,Alyssa Sutherland,Morgan Davies,Horror Thriller,evil dead rise,Lily Sullivan Alyssa Sutherland Morgan Davies Lee Cronin Horror Thriller
Guy Ritchie,Jake Gyllenhaal,Dar Salim,Antony Starr,War Action Thriller,guy ritchie's the covenant,Jake Gyllenhaal Dar Salim Antony Starr Guy Ritchie War Action Thriller
Dexter Fletcher,Chris Evans,Ana de Armas,Adrien Brody,Action Comedy Romance,ghosted,Chris Evans Ana de Armas Adrien Brody Dexter Fletcher Action Comedy Romance
Stephen Williams,Kelvin Harrison Jr.,Samara Weaving,Lucy Boynton,Music Drama History,chevalier,Kelvin Harrison Jr. Samara Weaving Lucy Boynton Stephen Williams Music Drama History
Ray Romano,Ray Romano,Laurie Metcalf,Jacob Ward,Comedy Drama,somewhere in queens,Ray Romano Laurie Metcalf Jacob Ward Ray Romano Comedy Drama
Benjamin Millepied,Melissa Barrera,Paul Mescal,Rossy de Palma,Drama Romance,carmen,Melissa Barrera Paul Mescal Rossy de Palma Benjamin Millepied Drama Romance
Steven K. Tsuchida,Rachael Leigh Cook,Scott Ly,Missi Pyle,Romance Comedy,a tourist's guide to love,Rachael Leigh Cook Scott Ly Missi Pyle Steven K. Tsuchida Romance Comedy
Franklin Ritch,Lance Henriksen,Sinda Nichols,David Girard,Science Fiction Thriller Drama Mystery,the artifice girl,Lance Henriksen Sinda Nichols David Girard Franklin Ritch Science Fiction Thriller Drama Mystery
David Lowery,Jude Law,Alexander Molony,Ever Anderson,Family Fantasy Action Adventure,peter pan & wendy,Jude Law Alexander Molony Ever Anderson David Lowery Family Fantasy Action Adventure
Kelly Fremon Craig,Rachel McAdams,Abby Ryder Fortson,Elle Graham,Comedy Drama,"are you there god? it's me, margaret.",Rachel McAdams Abby Ryder Fortson Elle Graham Kelly Fremon Craig Comedy Drama
George Tillman Jr.,Khris Davis,Jasmine Mathews,John Magaro,History Drama,big george foreman,Khris Davis Jasmine Mathews John Magaro George Tillman Jr. History Drama
Jalmari Helander,Jorma Tommila,Aksel Hennie,Jack Doolan,Action War Adventure,sisu,Jorma Tommila Aksel Hennie Jack Doolan Jalmari Helander Action War Adventure
Alexis Jacknow,Dianna Agron,Jay Ali,Melora Hardin,Horror Thriller,clock,Dianna Agron Jay Ali Melora Hardin Alexis Jacknow Horror Thriller
James Gunn,Chris Pratt,Zoe Saldaña,Dave Bautista,Science Fiction Adventure Action,guardians of the galaxy vol. 3,Chris Pratt Zoe Saldaña Dave Bautista James Gunn Science Fiction Adventure Action
James C. Strouse,Priyanka Chopra,Sam Heughan,Russell Tovey,Romance Drama Comedy,love again,Priyanka Chopra Sam Heughan Russell Tovey James C. Strouse Romance Drama Comedy
Bill Holderman,Diane Keaton,Jane Fonda,Candice Bergen,Comedy Romance,book club: the next chapter,Diane Keaton Jane Fonda Candice Bergen Bill Holderman Comedy Romance
Niki Caro,Jennifer Lopez,Joseph Fiennes,Lucy Paez,Action Thriller,the mother,Jennifer Lopez Joseph Fiennes Lucy Paez Niki Caro Action Thriller
Charlie Day,Charlie Day,Ken Jeong,Kate Beckinsale,Comedy,fool's paradise,Charlie Day Ken Jeong Kate Beckinsale Charlie Day Comedy
Robert Rodriguez,Ben Affleck,Alice Braga,William Fichtner,Mystery Thriller Action Science Fiction,hypnotic,Ben Affleck Alice Braga William Fichtner Robert Rodriguez Mystery Thriller Action Science Fiction
Kyle Patrick Alvarez,Isaiah Russell-Bailey,Mckenna Grace,Billy Barratt,Science Fiction Action Adventure Family,crater,Isaiah Russell-Bailey Mckenna Grace Billy Barratt Kyle Patrick Alvarez Science Fiction Action Adventure Family
Tomasz Bagiński,Mackenyu,Famke Janssen,Madison Iseman,Fantasy Action Adventure,knights of the zodiac,Mackenyu Famke Janssen Madison Iseman Tomasz Bagiński Fantasy Action Adventure
Tony Dean Smith,Jonathan Rhys Meyers,Jon Voight,Leah Gibson,Action Mystery Thriller,mercy,Jonathan Rhys Meyers Jon Voight Leah Gibson Tony Dean Smith Action Mystery Thriller
Andrea Pallaoro,Trace Lysette,Patricia Clarkson,Emily Browning,Drama,monica,Trace Lysette Patricia Clarkson Emily Browning Andrea Pallaoro Drama
Laurel Parmet,Eliza Scanlen,Lewis Pullman,Wrenn Schmidt,Drama,the starling girl,Eliza Scanlen Lewis Pullman Wrenn Schmidt Laurel Parmet Drama
Ross Venokur,Jimmy O. Yang,J. K. Simmons,Chloe Bennet,Animation Family Comedy,rally road racers,Jimmy O. Yang J. K. Simmons Chloe Bennet Ross Venokur Animation Family Comedy
Louis Leterrier,Vin Diesel,Michelle Rodriguez,Tyrese Gibson,Action Crime Thriller,fast x,Vin Diesel Michelle Rodriguez Tyrese Gibson Louis Leterrier Action Crime Thriller
Calmatic,Sinqua Walls,Jack Harlow,Teyana Taylor,Comedy Drama,white men can't jump,Sinqua Walls Jack Harlow Teyana Taylor Calmatic Comedy Drama
Paul Schrader,Joel Edgerton,Sigourney Weaver,Quintessa Swindell,Drama Romance Thriller,master gardener,Joel Edgerton Sigourney Weaver Quintessa Swindell Paul Schrader Drama Romance Thriller
Zachary Wigon,Margaret Qualley,Christopher Abbott,unknown,Drama Thriller,sanctuary,Margaret Qualley Christopher Abbott unknown Zachary Wigon Drama Thriller
"Anthony Hines, Casper Christensen (directors/screenplay); Shailene Woodley, Jack Whitehall",Shailene Woodley,Jack Whitehall,unknown,Animation Comedy Family Science Fiction,robots,"Shailene Woodley Jack Whitehall unknown Anthony Hines, Casper Christensen (directors/screenplay); Shailene Woodley, Jack Whitehall Animation Comedy Family Science Fiction"
Ryan Stevens Harris,Augie Duke,Haven Lee Harris,Morgana Ignis,Fantasy Horror Drama,moon garden,Augie Duke Haven Lee Harris Morgana Ignis Ryan Stevens Harris Fantasy Horror Drama
Rob Marshall,Halle Bailey,Jonah Hauer-King,Daveed Diggs,Adventure Family Fantasy Romance,the little mermaid,Halle Bailey Jonah Hauer-King Daveed Diggs Rob Marshall Adventure Family Fantasy Romance
Laura Terruso,Sebastian Maniscalco,Robert De Niro,Leslie Bibb,Comedy,about my father,Sebastian Maniscalco Robert De Niro Leslie Bibb Laura Terruso Comedy
Ric Roman Waugh,Gerard Butler,Navid Negahban,Ali Fazal,Action Thriller,kandahar,Gerard Butler Navid Negahban Ali Fazal Ric Roman Waugh Action Thriller
Peter Atencio,Bert Kreischer,Mark Hamill,Jimmy Tatro,Comedy Action Crime,the machine,Bert Kreischer Mark Hamill Jimmy Tatro Peter Atencio Comedy Action Crime
Nicole Holofcener,Julia Louis-Dreyfus,Tobias Menzies,Michaela Watkins,Comedy Drama Romance,you hurt my feelings,Julia Louis-Dreyfus Tobias Menzies Michaela Watkins Nicole Holofcener Comedy Drama Romance
"Matt Angel, Suzanne Coote",Lulu Wilson,Seann William Scott,unknown,Action Horror Thriller,the wrath of becky,"Lulu Wilson Seann William Scott unknown Matt Angel, Suzanne Coote Action Horror Thriller"
Tina Satter,Sydney Sweeney,Marchánt Davis,Josh Hamilton,Drama Thriller,reality,Sydney Sweeney Marchánt Davis Josh Hamilton Tina Satter Drama Thriller
"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",Shameik Moore,Hailee Steinfeld,Brian Tyree Henry,Animation Action Adventure Science Fiction,spider-man: across the spider-verse,"Shameik Moore Hailee Steinfeld Brian Tyree Henry Joaquim Dos Santos, Kemp Powers, Justin K. Thompson Animation Action Adventure Science Fiction"
Rob Savage,Sophie Thatcher,Chris Messina,Vivien Lyra Blair,Horror Thriller Mystery,the boogeyman,Sophie Thatcher Chris Messina Vivien Lyra Blair Rob Savage Horror Thriller Mystery
Celine Song,Greta Lee,Teo Yoo,John Magaro,Drama Romance,past lives,Greta Lee Teo Yoo John Magaro Celine Song Drama Romance
Chris Robinson,Mookie Cook,Caleb McLaughlin,Algee Smith,Drama History,shooting stars,Mookie Cook Caleb McLaughlin Algee Smith Chris Robinson Drama History
Steven Caple Jr.,Anthony Ramos,Dominique Fishback,Luna Lauren Vélez,Action Adventure Science Fiction,transformers: rise of the beasts,Anthony Ramos Dominique Fishback Luna Lauren Vélez Steven Caple Jr. Action Adventure Science Fiction
Eva Longoria,Jesse Garcia,Annie Gonzalez,Dennis Haysbert,Comedy Drama,flamin' hot,Jesse Garcia Annie Gonzalez Dennis Haysbert Eva Longoria Comedy Drama
Mary Harron,Ben Kingsley,Barbara Sukowa,Christopher Briney,Drama History,dalíland,Ben Kingsley Barbara Sukowa Christopher Briney Mary Harron Drama History
Kelley Kali,Maisie Richardson-Sellers,Shannon Woodward,unknown,Horror,jagged mind,Maisie Richardson-Sellers Shannon Woodward unknown Kelley Kali Horror
Andy Muschietti,Ezra Miller,Sasha Calle,Michael Shannon,Action Adventure Science Fiction,the flash,Ezra Miller Sasha Calle Michael Shannon Andy Muschietti Action Adventure Science Fiction
Peter Sohn,Leah Lewis,Mamoudou Athie,Ronnie del Carmen,Animation Comedy Family Fantasy Romance,elemental,Leah Lewis Mamoudou Athie Ronnie del Carmen Peter Sohn Animation Comedy Family Fantasy Romance
Wes Anderson,Jason Schwartzman,Scarlett Johansson,Tom Hanks,Comedy Drama,asteroid city,Jason Schwartzman Scarlett Johansson Tom Hanks Wes Anderson Comedy Drama
Sam Hargrave,Chris Hemsworth,Golshifteh Farahani,Adam Bessa,Action Thriller,extraction 2,Chris Hemsworth Golshifteh Farahani Adam Bessa Sam Hargrave Action Thriller
Tim Story,Grace Byers,Jermaine Fowler,Melvin Gregg,Horror Comedy,the blackening,Grace Byers Jermaine Fowler Melvin Gregg Tim Story Horror Comedy
Anthony Mandler,Letitia Wright,Jamie Bell,Michael K. Williams,Western Action Drama,surrounded,Letitia Wright Jamie Bell Michael K. Williams Anthony Mandler Western Action Drama
