director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Michael Lewen,Jordan Fisher,Talia Ryder Ayo Edebiri,Nico Hiraga,Romance Drama,"hello, goodbye, and everything in between",Jordan Fisher Talia Ryder Ayo Edebiri Nico Hiraga Michael Lewen Romance Drama
Taika Waititi,Chris Hemsworth,Christian Bale,Tessa Thompson,Fantasy Action Comedy,thor: love and thunder,Chris Hemsworth Christian Bale Tessa Thompson Taika Waititi Fantasy Action Comedy
Trey Parker,Trey Parker,Matt Stone,April Stewart,Animation Comedy TV Movie,south park the streaming wars part 2,Trey Parker Matt Stone April Stewart Trey Parker Animation Comedy TV Movie
Russo brothers,Ryan Gosling,Chris Evans,Ana de Armas,Action Thriller,the gray man,Ryan Gosling Chris Evans Ana de Armas Russo brothers Action Thriller
Olivia Newman,Daisy Edgar-Jones,Taylor John Smith,Harris Dickinson,Drama Mystery Romance,where the crawdads sing,Daisy Edgar-Jones Taylor John Smith Harris Dickinson Olivia Newman Drama Mystery Romance
"Rob Minkoff, Mark Koetsier, Chris Bailey",Michael Cera,Ricky Gervais,Mel Brooks,Animation Action Adventure Comedy Family,paws of fury: the legend of hank,"Michael Cera Ricky Gervais Mel Brooks Rob Minkoff, Mark Koetsier, Chris Bailey Animation Action Adventure Comedy Family"
Carrie Cracknell,Dakota Johnson,Cosmo Jarvis,Nikki Amuka-Bird,Romance Drama Comedy,persuasion,Dakota Johnson Cosmo Jarvis Nikki Amuka-Bird Carrie Cracknell Romance Drama Comedy
Eli Horowitz,Winona Ryder,Dermot Mulroney,John Gallagher Jr.,Thriller Drama Mystery,gone in the night,Winona Ryder Dermot Mulroney John Gallagher Jr. Eli Horowitz Thriller Drama Mystery
Kyle Newman,Paris Berelc,Taylor Zakhar Perez,Hari Nef,Comedy,1up,Paris Berelc Taylor Zakhar Perez Hari Nef Kyle Newman Comedy
Mike Burns,Ashley Greene,Bruce Willis,unknown,Thriller Drama Crime Action,wrong place,Ashley Greene Bruce Willis unknown Mike Burns Thriller Drama Crime Action
Hannah Marks,John Cho,Mia Isaac,unknown,Drama,don't make me go,John Cho Mia Isaac unknown Hannah Marks Drama
Jacob Aaron Estes,Iris Serena Estes,Lucas Steel Estes,unknown,Thriller TV Movie,he's watching,Iris Serena Estes Lucas Steel Estes unknown Jacob Aaron Estes Thriller TV Movie
Jordan Peele,Daniel Kaluuya,Keke Palmer,Steven Yeun,Horror Science Fiction Mystery,nope,Daniel Kaluuya Keke Palmer Steven Yeun Jordan Peele Horror Science Fiction Mystery
Billy Porter,Eva Reign,Abubakr Ali,Renée Elise Goldsberry,Romance Comedy Drama,anything's possible,Eva Reign Abubakr Ali Renée Elise Goldsberry Billy Porter Romance Comedy Drama
Katie Holmes,Katie Holmes,Jim Sturgess,Derek Luke,Romance Drama,alone together,Katie Holmes Jim Sturgess Derek Luke Katie Holmes Romance Drama
Jared Stern,Dwayne Johnson,Kevin Hart,Kate McKinnon,Animation Action Family Comedy Science Fiction,dc league of super-pets,Dwayne Johnson Kevin Hart Kate McKinnon Jared Stern Animation Action Family Comedy Science Fiction
Ron Howard,Viggo Mortensen,Colin Farrell,Joel Edgerton,Drama Thriller,thirteen lives,Viggo Mortensen Colin Farrell Joel Edgerton Ron Howard Drama Thriller
B. J. Novak,B. J. Novak,Boyd Holbrook,J. Smith-Cameron,Thriller Mystery Comedy,vengeance,B. J. Novak Boyd Holbrook J. Smith-Cameron B. J. Novak Thriller Mystery Comedy
Lena Dunham,Kristine Froseth,Jon Bernthal,Luka Sabbat,Comedy Drama Romance,sharp stick,Kristine Froseth Jon Bernthal Luka Sabbat Lena Dunham Comedy Drama Romance
Quinn Shephard,Zoey Deutch,Mia Isaac,Nadia Alexander,Comedy Drama,not okay,Zoey Deutch Mia Isaac Nadia Alexander Quinn Shephard Comedy Drama
Anna Gutto,Juliette Binoche,Frank Grillo,Hala Finley,Thriller Crime Drama,paradise highway,Juliette Binoche Frank Grillo Hala Finley Anna Gutto Thriller Crime Drama
Andrew Semans,Rebecca Hall,Grace Kaufman,Michael Esper,Drama Horror Mystery,resurrection,Rebecca Hall Grace Kaufman Michael Esper Andrew Semans Drama Horror Mystery
Max Walker-Silverman,Dale Dickey,Wes Studi,unknown,Drama Romance,a love song,Dale Dickey Wes Studi unknown Max Walker-Silverman Drama Romance
Oran Zegman,Angourie Rice,Gaten Matarazzo,Christopher Mintz-Plasse,Comedy,honor society,Angourie Rice Gaten Matarazzo Christopher Mintz-Plasse Oran Zegman Comedy
Spider One,Krsy Fox,John Ennis,Bryce Johnson,Horror,allegoria,Krsy Fox John Ennis Bryce Johnson Spider One Horror
Jennifer N. Linch,Jennifer N. Linch,Noah Sargent,Mark Atkinson,Comedy Fantasy Action,kung fu ghost,Jennifer N. Linch Noah Sargent Mark Atkinson Jennifer N. Linch Comedy Fantasy Action
David Leitch,Brad Pitt,Joey King,Aaron Taylor-Johnson,Action Comedy Thriller,bullet train,Brad Pitt Joey King Aaron Taylor-Johnson David Leitch Action Comedy Thriller
Jay Chandrasekhar,Jo Koy,Eugene Cordero,Tia Carrere,Comedy,easter sunday,Jo Koy Eugene Cordero Tia Carrere Jay Chandrasekhar Comedy
"Andy Suriano, Ant Ward",Ben Schwartz,Omar Benson Miller,Brandon Mychal Smith,Animation Action Science Fiction,rise of the teenage mutant ninja turtles: the movie,"Ben Schwartz Omar Benson Miller Brandon Mychal Smith Andy Suriano, Ant Ward Animation Action Science Fiction"
Peggy Holmes,Eva Noblezada,Simon Pegg,Jane Fonda,Animation Adventure Comedy Fantasy,luck,Eva Noblezada Simon Pegg Jane Fonda Peggy Holmes Animation Adventure Comedy Fantasy
Dan Trachtenberg,Amber Midthunder,Dakota Beavers,Dane DiLiegro,Thriller Action Science Fiction,prey,Amber Midthunder Dakota Beavers Dane DiLiegro Dan Trachtenberg Thriller Action Science Fiction
Halina Reijn,Amandla Stenberg,Maria Bakalova,Myha'la Herrold,Comedy Horror Mystery,bodies bodies bodies,Amandla Stenberg Maria Bakalova Myha'la Herrold Halina Reijn Comedy Horror Mystery
John Logan,Theo Germaine,Carrie Preston,Anna Chlumsky,Horror Thriller,they/them,Theo Germaine Carrie Preston Anna Chlumsky John Logan Horror Thriller
"Henry Joost, Ariel Schulman (directors/screenplay); Christopher Yost, Josh Koenigsberg (screenplay); Owen Wilson, Walker Scobell, Jesse Williams, Keith L. Williams, Momona Tamada, Charles Melton, Michael Peña",Owen Wilson,Walker Scobell,Jesse Williams,Action Adventure Comedy Science Fiction Family,secret headquarters,"Owen Wilson Walker Scobell Jesse Williams Henry Joost, Ariel Schulman (directors/screenplay); Christopher Yost, Josh Koenigsberg (screenplay); Owen Wilson, Walker Scobell, Jesse Williams, Keith L. Williams, Momona Tamada, Charles Melton, Michael Peña Action Adventure Comedy Science Fiction Family"
J. J. Perry,Jamie Foxx,Dave Franco,Natasha Liu Bordizzo,Action Fantasy Horror Comedy,day shift,Jamie Foxx Dave Franco Natasha Liu Bordizzo J. J. Perry Action Fantasy Horror Comedy
Katie Aselton,Diane Keaton,Taylour Paige,Elizabeth Lail,Comedy Fantasy Drama,mack & rita,Diane Keaton Taylour Paige Elizabeth Lail Katie Aselton Comedy Fantasy Drama
Scott Mann,Grace Caroline Currey,Virginia Gardner,Mason Gooding,Thriller,fall,Grace Caroline Currey Virginia Gardner Mason Gooding Scott Mann Thriller
John Patton Ford,Aubrey Plaza,Theo Rossi,Megalyn Echikunwoke,Crime Drama Thriller,emily the criminal,Aubrey Plaza Theo Rossi Megalyn Echikunwoke John Patton Ford Crime Drama Thriller
James Ponsoldt,Lia Barnett,Lake Bell,Sarah Cooper,Drama,summering,Lia Barnett Lake Bell Sarah Cooper James Ponsoldt Drama
Baltasar Kormákur,Idris Elba,Sharlto Copley,Iyana Halley,Thriller Action Horror,beast,Idris Elba Sharlto Copley Iyana Halley Baltasar Kormákur Thriller Action Horror
William Brent Bell,Isabelle Fuhrman,Rossif Sutherland,Hiro Kanagawa,Horror Thriller,orphan: first kill,Isabelle Fuhrman Rossif Sutherland Hiro Kanagawa William Brent Bell Horror Thriller
Jeff Baena,Alison Brie,Alessandro Nivola,Molly Shannon,Romance Comedy,spin me round,Alison Brie Alessandro Nivola Molly Shannon Jeff Baena Romance Comedy
Robert Budreau,Stephan James,Marisa Tomei,Paul Walter Hauser,Mystery Thriller Crime Drama,delia's gone,Stephan James Marisa Tomei Paul Walter Hauser Robert Budreau Mystery Thriller Crime Drama
George Miller,Idris Elba,Tilda Swinton,unknown,Drama Fantasy Romance,three thousand years of longing,Idris Elba Tilda Swinton unknown George Miller Drama Fantasy Romance
Julius Avery,Sylvester Stallone,Javon Walton,Pilou Asbæk,Science Fiction Crime Action,samaritan,Sylvester Stallone Javon Walton Pilou Asbæk Julius Avery Science Fiction Crime Action
John Hamburg,Kevin Hart,Mark Wahlberg,Luis Gerardo Méndez,Comedy,me time,Kevin Hart Mark Wahlberg Luis Gerardo Méndez John Hamburg Comedy
Jessica M. Thompson,Nathalie Emmanuel,Thomas Doherty,Stephanie Corneliussen,Horror Thriller,the invitation,Nathalie Emmanuel Thomas Doherty Stephanie Corneliussen Jessica M. Thompson Horror Thriller
Abi Damaris Corbin,John Boyega,Nicole Beharie,Selenis Leyva,Crime Drama Thriller,breaking,John Boyega Nicole Beharie Selenis Leyva Abi Damaris Corbin Crime Drama Thriller
Owen Kline,Daniel Zolghadri,Matthew Maher,Miles Emanuel,Comedy,funny pages,Daniel Zolghadri Matthew Maher Miles Emanuel Owen Kline Comedy
Adamma Ebo,Regina Hall,Sterling K. Brown,Austin Crute,Comedy Drama,honk for jesus. save your soul.,Regina Hall Sterling K. Brown Austin Crute Adamma Ebo Comedy Drama
Nick Hamm,Marcia Gay Harden,Charlie Rowe,Josephine Langford,Drama,gigi & nate,Marcia Gay Harden Charlie Rowe Josephine Langford Nick Hamm Drama
Matt Eskandari,Kevin Dillon,Bruce Willis,unknown,Action Crime,wire room,Kevin Dillon Bruce Willis unknown Matt Eskandari Action Crime
Andrew Baird,Machine Gun Kelly,Kevin Bacon,Travis Fimmel,Action Crime Thriller,one way,Machine Gun Kelly Kevin Bacon Travis Fimmel Andrew Baird Action Crime Thriller
Castille Landon,Josephine Langford,Hero Fiennes Tiffin,Louise Lombard,Romance Drama,after ever happy,Josephine Langford Hero Fiennes Tiffin Louise Lombard Castille Landon Romance Drama
Robert Zemeckis,Tom Hanks,Benjamin Evan Ainsworth,Joseph Gordon-Levitt,Animation Family Fantasy,pinocchio,Tom Hanks Benjamin Evan Ainsworth Joseph Gordon-Levitt Robert Zemeckis Animation Family Fantasy
Zach Cregger,Georgina Campbell,Bill Skarsgård,Justin Long,Horror Mystery Thriller,barbarian,Georgina Campbell Bill Skarsgård Justin Long Zach Cregger Horror Mystery Thriller
Millicent Shelton,Queen Latifah,Ludacris,Mychala Lee,Drama Thriller,end of the road,Queen Latifah Ludacris Mychala Lee Millicent Shelton Drama Thriller
Kevin Peeples,Kirk Cameron,Alex Kendrick,Rebecca Rogers Nelson,Drama,lifemark,Kirk Cameron Alex Kendrick Rebecca Rogers Nelson Kevin Peeples Drama
Kevin Smith,Brian O'Halloran,Jeff Anderson,Trevor Fehrman,Comedy,clerks iii,Brian O'Halloran Jeff Anderson Trevor Fehrman Kevin Smith Comedy
Gina Prince-Bythewood,Viola Davis,Thuso Mbedu,Lashana Lynch,Action Drama History,the woman king,Viola Davis Thuso Mbedu Lashana Lynch Gina Prince-Bythewood Action Drama History
Tom George,Sam Rockwell,Saoirse Ronan,Adrien Brody,Mystery Comedy Crime,see how they run,Sam Rockwell Saoirse Ronan Adrien Brody Tom George Mystery Comedy Crime
Andrew Dominik,Ana de Armas,Adrien Brody,Bobby Cannavale,Drama,blonde,Ana de Armas Adrien Brody Bobby Cannavale Andrew Dominik Drama
Ti West,Mia Goth,David Corenswet,Tandi Wright,Horror Drama,pearl,Mia Goth David Corenswet Tandi Wright Ti West Horror Drama
Jennifer Kaytin Robinson,Camila Mendes,Maya Hawke,Austin Abrams,Comedy Thriller Romance,do revenge,Camila Mendes Maya Hawke Austin Abrams Jennifer Kaytin Robinson Comedy Thriller Romance
Agnieszka Smoczyńska,Letitia Wright,Tamara Lawrance,Nadine Marshall,Drama,the silent twins,Letitia Wright Tamara Lawrance Nadine Marshall Agnieszka Smoczyńska Drama
Greg Mottola,Jon Hamm,Marcia Gay Harden,Kyle MacLachlan,Comedy Mystery Crime,"confess, fletch",Jon Hamm Marcia Gay Harden Kyle MacLachlan Greg Mottola Comedy Mystery Crime
Brett Morgen,David Bowie,unknown,unknown,Documentary Music,moonage daydream,David Bowie unknown unknown Brett Morgen Documentary Music
Julian Higgins,Thandiwe Newton,Jeremy Bobb,Joris Jarsky,Mystery Thriller Western Drama,god's country,Thandiwe Newton Jeremy Bobb Joris Jarsky Julian Higgins Mystery Thriller Western Drama
Matt Sobel,Naomi Watts,Cameron Crovetti,Nicholas Crovetti,Horror Thriller Mystery,goodnight mommy,Naomi Watts Cameron Crovetti Nicholas Crovetti Matt Sobel Horror Thriller Mystery
"Marty Roberts, Jimmy Womble (directors/screenplay); Brett Varvel, Gigi Orsillo, Todd Terry, Cameron Arnett",Brett Varvel,Gigi Orsillo,Todd Terry,Drama,running the bases,"Brett Varvel Gigi Orsillo Todd Terry Marty Roberts, Jimmy Womble (directors/screenplay); Brett Varvel, Gigi Orsillo, Todd Terry, Cameron Arnett Drama"
Timo Vuorensola,Sydney Craven,Imran Adams,Dee Wallace,Horror Thriller Mystery,jeepers creepers: reborn,Sydney Craven Imran Adams Dee Wallace Timo Vuorensola Horror Thriller Mystery
Olivia Wilde,Florence Pugh,Harry Styles,Olivia Wilde,Thriller Mystery Drama,don't worry darling,Florence Pugh Harry Styles Olivia Wilde Olivia Wilde Thriller Mystery Drama
Lena Dunham,Bella Ramsey,Billie Piper,Andrew Scott,Adventure Comedy,catherine called birdy,Bella Ramsey Billie Piper Andrew Scott Lena Dunham Adventure Comedy
Christian Sesma,Ryan Kwanten,Dolph Lundgren,Dermot Mulroney,Action Thriller,section eight,Ryan Kwanten Dolph Lundgren Dermot Mulroney Christian Sesma Action Thriller
Anna Foerster,Allison Janney,Jurnee Smollett,Logan Marshall-Green,Action Thriller,lou,Allison Janney Jurnee Smollett Logan Marshall-Green Anna Foerster Action Thriller
Sanaa Lathan,Jamila C. Gray,Da'Vine Joy Randolph,Mike Epps,Drama Music,on the come up,Jamila C. Gray Da'Vine Joy Randolph Mike Epps Sanaa Lathan Drama Music
Tyler Perry,Joshua Boone,Amirah Vann,Solea Pfeiffer,Drama Romance Mystery,a jazzman's blues,Joshua Boone Amirah Vann Solea Pfeiffer Tyler Perry Drama Romance Mystery
Rob Zombie,Sheri Moon Zombie,Jeff Daniel Phillips,Daniel Roebuck,Comedy Fantasy,the munsters,Sheri Moon Zombie Jeff Daniel Phillips Daniel Roebuck Rob Zombie Comedy Fantasy
Parker Finn,Sosie Bacon,Jessie T. Usher,Kyle Gallner,Horror Mystery Thriller,smile,Sosie Bacon Jessie T. Usher Kyle Gallner Parker Finn Horror Mystery Thriller
Nicholas Stoller,Billy Eichner,Luke Macfarlane,unknown,Comedy Romance,bros,Billy Eichner Luke Macfarlane unknown Nicholas Stoller Comedy Romance
Anne Fletcher,Bette Midler,Sarah Jessica Parker,Kathy Najimy,Fantasy Comedy Family,hocus pocus 2,Bette Midler Sarah Jessica Parker Kathy Najimy Anne Fletcher Fantasy Comedy Family
Peter Farrelly,Zac Efron,Russell Crowe,unknown,Drama Comedy War,the greatest beer run ever,Zac Efron Russell Crowe unknown Peter Farrelly Drama Comedy War
"Maya Forbes, Wallace Wolodarsky (directors/screenplay); Thomas Bezucha (screenplay); Sigourney Weaver, Kevin Kline, Morena Baccarin, Rob Delaney",Sigourney Weaver,Kevin Kline,Morena Baccarin,Romance Drama Comedy,the good house,"Sigourney Weaver Kevin Kline Morena Baccarin Maya Forbes, Wallace Wolodarsky (directors/screenplay); Thomas Bezucha (screenplay); Sigourney Weaver, Kevin Kline, Morena Baccarin, Rob Delaney Romance Drama Comedy"
Mike Barker,Mila Kunis,unknown,unknown,Drama Thriller Mystery,luckiest girl alive,Mila Kunis unknown unknown Mike Barker Drama Thriller Mystery
Walter Hill,Christoph Waltz,Willem Dafoe,Rachel Brosnahan,Western Thriller Action,dead for a dollar,Christoph Waltz Willem Dafoe Rachel Brosnahan Walter Hill Western Thriller Action
Damon Thomas,Elsie Fisher,Amiah Miller,Rachel Ogechi Kanu,Horror Comedy,my best friend's exorcism,Elsie Fisher Amiah Miller Rachel Ogechi Kanu Damon Thomas Horror Comedy
John Lee Hancock,Donald Sutherland,Jaeden Martell,Joe Tippett,Drama Thriller Horror Mystery,mr. harrigan's phone,Donald Sutherland Jaeden Martell Joe Tippett John Lee Hancock Drama Thriller Horror Mystery
Damien Leone,Lauren LaVera,Elliot Fullam,Sarah Voigt,Horror Thriller,terrifier 2,Lauren LaVera Elliot Fullam Sarah Voigt Damien Leone Horror Thriller
"Will Speck, Josh Gordon",Javier Bardem,Constance Wu,Winslow Fegley,Comedy Family Music,"lyle, lyle, crocodile","Javier Bardem Constance Wu Winslow Fegley Will Speck, Josh Gordon Comedy Family Music"
David O. Russell,Christian Bale,Margot Robbie,John David Washington,Mystery Comedy Drama,amsterdam,Christian Bale Margot Robbie John David Washington David O. Russell Mystery Comedy Drama
Todd Field,Cate Blanchett,Noémie Merlant,Nina Hoss,Drama Music,tár,Cate Blanchett Noémie Merlant Nina Hoss Todd Field Drama Music
David Bruckner,Odessa A'zion,Jamie Clayton,Adam Faison,Horror Mystery,hellraiser,Odessa A'zion Jamie Clayton Adam Faison David Bruckner Horror Mystery
"Dan Berk, Robert Olsen (directors/screenplay); Maika Monroe, Jake Lacy, Matthew Yang King",Maika Monroe,Jake Lacy,Matthew Yang King,Science Fiction Thriller Horror Mystery Drama,significant other,"Maika Monroe Jake Lacy Matthew Yang King Dan Berk, Robert Olsen (directors/screenplay); Maika Monroe, Jake Lacy, Matthew Yang King Science Fiction Thriller Horror Mystery Drama"
John Ross,Sara Wolfkind,Shannyn Sossamon,Usman Ally,Horror,grimcutty,Sara Wolfkind Shannyn Sossamon Usman Ally John Ross Horror
David Gordon Green,Jamie Lee Curtis,Andi Matichak,Rohan Campbell,Horror Thriller,halloween ends,Jamie Lee Curtis Andi Matichak Rohan Campbell David Gordon Green Horror Thriller
Chinonye Chukwu,Danielle Deadwyler,Jalyn Hall,Frankie Faison,Drama History,till,Danielle Deadwyler Jalyn Hall Frankie Faison Chinonye Chukwu Drama History
Karen Maine,Kaitlyn Dever,Isabela Merced,Kyle Allen,Romance Drama Comedy,rosaline,Kaitlyn Dever Isabela Merced Kyle Allen Karen Maine Romance Drama Comedy
Rodrigo García,Ewan McGregor,Ethan Hawke,Maribel Verdú,Drama Comedy,raymond & ray,Ewan McGregor Ethan Hawke Maribel Verdú Rodrigo García Drama Comedy
Jeff Wadlow,Marlon Wayans,Priah Ferguson,Kelly Rowland,Adventure Comedy Horror Family,the curse of bridge hollow,Marlon Wayans Priah Ferguson Kelly Rowland Jeff Wadlow Adventure Comedy Horror Family
Bill Posley,Tony Todd,unknown,unknown,Horror Mystery Thriller Crime,bitch ass,Tony Todd unknown unknown Bill Posley Horror Mystery Thriller Crime
Paul Feig,Sophia Anne Caruso,Sofia Wylie,Laurence Fishburne,Fantasy Comedy Adventure Drama,the school for good and evil,Sophia Anne Caruso Sofia Wylie Laurence Fishburne Paul Feig Fantasy Comedy Adventure Drama
Tobias Lindholm,Jessica Chastain,Eddie Redmayne,Nnamdi Asomugha,Drama Crime Mystery,the good nurse,Jessica Chastain Eddie Redmayne Nnamdi Asomugha Tobias Lindholm Drama Crime Mystery
"Maggie Levin, Johannes Roberts, Flying Lotus, Tyler MacIntyre, Vanessa & Joseph Winter",Maggie Levin,Johannes Roberts,Flying Lotus,Horror Thriller Fantasy,v/h/s/99,"Maggie Levin Johannes Roberts Flying Lotus Maggie Levin, Johannes Roberts, Flying Lotus, Tyler MacIntyre, Vanessa & Joseph Winter Horror Thriller Fantasy"
Jaume Collet-Serra,Dwayne Johnson,Aldis Hodge,Noah Centineo,Action Adventure Science Fiction,black adam,Dwayne Johnson Aldis Hodge Noah Centineo Jaume Collet-Serra Action Adventure Science Fiction
Ol Parker,George Clooney,Julia Roberts,Kaitlyn Dever,Drama Comedy Romance,ticket to paradise,George Clooney Julia Roberts Kaitlyn Dever Ol Parker Drama Comedy Romance
Henry Selick,Keegan-Michael Key,Jordan Peele,Angela Bassett,Animation Comedy Fantasy Horror,wendell & wild,Keegan-Michael Key Jordan Peele Angela Bassett Henry Selick Animation Comedy Fantasy Horror
Martin McDonagh,Colin Farrell,Brendan Gleeson,Kerry Condon,Drama Comedy,the banshees of inisherin,Colin Farrell Brendan Gleeson Kerry Condon Martin McDonagh Drama Comedy
Michael Grandage,Harry Styles,Emma Corrin,Gina McKee,Drama Romance,my policeman,Harry Styles Emma Corrin Gina McKee Michael Grandage Drama Romance
Charlotte Wells,Paul Mescal,Frankie Corio,Celia Rowlson-Hall,Drama,aftersun,Paul Mescal Frankie Corio Celia Rowlson-Hall Charlotte Wells Drama
Edward John Drake,Bruce Willis,Lochlyn Munro,Jimmy Jean-Louis,Action Crime Thriller,detective knight: rogue,Bruce Willis Lochlyn Munro Jimmy Jean-Louis Edward John Drake Action Crime Thriller
Kathlyn Horan,Kathlyn Horan (director),unknown,unknown,Documentary Music,the return of tanya tucker: featuring brandi carlile,Kathlyn Horan (director) unknown unknown Kathlyn Horan Documentary Music
James Gray,Anne Hathaway,Jeremy Strong,Banks Repeta,Drama,armageddon time,Anne Hathaway Jeremy Strong Banks Repeta James Gray Drama
Phyllis Nagy,Elizabeth Banks,Sigourney Weaver,Chris Messina,Drama History,call jane,Elizabeth Banks Sigourney Weaver Chris Messina Phyllis Nagy Drama History
Lila Neugebauer,Jennifer Lawrence,Brian Tyree Henry,Linda Emond,Drama,causeway,Jennifer Lawrence Brian Tyree Henry Linda Emond Lila Neugebauer Drama
Daniel Stamm,Jacqueline Byers,Colin Salmon,Christian Navarro,Horror Thriller,prey for the devil,Jacqueline Byers Colin Salmon Christian Navarro Daniel Stamm Horror Thriller
Shana Feste,Ella Balinska,Pilou Asbæk,Dayo Okeniyi,Thriller Horror,run sweetheart run,Ella Balinska Pilou Asbæk Dayo Okeniyi Shana Feste Thriller Horror
Sebastián Lelio,Florence Pugh,Tom Burke,Niamh Algar,Drama Mystery,the wonder,Florence Pugh Tom Burke Niamh Algar Sebastián Lelio Drama Mystery
Amy Rice,Jodie Turner-Smith,John Cena,Brian Cox,Thriller Mystery Crime,the independent,Jodie Turner-Smith John Cena Brian Cox Amy Rice Thriller Mystery Crime
Harry Bradbeer,Millie Bobby Brown,Henry Cavill,Helena Bonham Carter,Adventure Mystery Crime,enola holmes 2,Millie Bobby Brown Henry Cavill Helena Bonham Carter Harry Bradbeer Adventure Mystery Crime
Nora Twomey,Jacob Tremblay,Gaten Matarazzo,Golshifteh Farahani,Animation Adventure Family Fantasy Comedy,my father's dragon,Jacob Tremblay Gaten Matarazzo Golshifteh Farahani Nora Twomey Animation Adventure Family Fantasy Comedy
Eric Appel,Daniel Radcliffe,Evan Rachel Wood,Rainn Wilson,Music Comedy Crime,weird: the al yankovic story,Daniel Radcliffe Evan Rachel Wood Rainn Wilson Eric Appel Music Comedy Crime
Dean Craig,Toni Collette,Anna Faris,David Duchovny,Comedy Drama,the estate,Toni Collette Anna Faris David Duchovny Dean Craig Comedy Drama
Michael Mailer,Cole Hauser,Morgan Freeman,Jaimie Alexander,Thriller Crime Drama,the minute you wake up dead,Cole Hauser Morgan Freeman Jaimie Alexander Michael Mailer Thriller Crime Drama
Gren Wells,Sadie Sink,Theo Rossi,Kweku Collins,Drama,dear zoe,Sadie Sink Theo Rossi Kweku Collins Gren Wells Drama
Justin Benson (director/screenplay); Aaron Moorhead,Aaron Moorhead (director); Justin Benson,Aaron Moorhead,unknown,Science Fiction Mystery Comedy Horror,something in the dirt,Aaron Moorhead (director); Justin Benson Aaron Moorhead unknown Justin Benson (director/screenplay); Aaron Moorhead Science Fiction Mystery Comedy Horror
"Matt Maiellaro, Dave Willis (directors/screenplay); Dana Snyder, Carey Means, Dave Willis, Matt Maiellaro, Peter Serafinowicz, Paul Walter Hauser",Dana Snyder,Carey Means,Dave Willis,Animation Comedy Science Fiction,aqua teen forever: plantasm,"Dana Snyder Carey Means Dave Willis Matt Maiellaro, Dave Willis (directors/screenplay); Dana Snyder, Carey Means, Dave Willis, Matt Maiellaro, Peter Serafinowicz, Paul Walter Hauser Animation Comedy Science Fiction"
Guillermo del Toro (director/screenplay); Mark Gustafson,Ewan McGregor,David Bradley,Gregory Mann,Animation Fantasy Drama Family,guillermo del toro's pinocchio,Ewan McGregor David Bradley Gregory Mann Guillermo del Toro (director/screenplay); Mark Gustafson Animation Fantasy Drama Family
Janeen Damian,Lindsay Lohan,unknown,unknown,Romance Comedy Family,falling for christmas,Lindsay Lohan unknown unknown Janeen Damian Romance Comedy Family
Ryan Coogler,Letitia Wright,Lupita Nyong'o,Danai Gurira,Action Adventure Science Fiction,black panther: wakanda forever,Letitia Wright Lupita Nyong'o Danai Gurira Ryan Coogler Action Adventure Science Fiction
Steven Spielberg,Michelle Williams,Paul Dano,Seth Rogen,Drama,the fabelmans,Michelle Williams Paul Dano Seth Rogen Steven Spielberg Drama
Sean Anders,Will Ferrell,Ryan Reynolds,Octavia Spencer,Comedy,spirited,Will Ferrell Ryan Reynolds Octavia Spencer Sean Anders Comedy
Elvis Mitchell,Margaret Avery,Harry Belafonte,Charles Burnett,Documentary,is that black enough for you?!?,Margaret Avery Harry Belafonte Charles Burnett Elvis Mitchell Documentary
Chuck Russell,John Travolta,Bruce Willis,unknown,Action Crime Thriller,paradise city,John Travolta Bruce Willis unknown Chuck Russell Action Crime Thriller
Russell Crowe,Russell Crowe,Liam Hemsworth,RZA,Thriller Crime,poker face,Russell Crowe Liam Hemsworth RZA Russell Crowe Thriller Crime
Clay Kaytis,Peter Billingsley,Erinn Hayes,Scott Schwartz,Comedy Family Drama Fantasy,a christmas story christmas,Peter Billingsley Erinn Hayes Scott Schwartz Clay Kaytis Comedy Family Drama Fantasy
Maria Schrader,Carey Mulligan,Zoe Kazan,Patricia Clarkson,Drama History,she said,Carey Mulligan Zoe Kazan Patricia Clarkson Maria Schrader Drama History
Mark Mylod,Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult,Comedy Thriller Horror,the menu,Ralph Fiennes Anya Taylor-Joy Nicholas Hoult Mark Mylod Comedy Thriller Horror
Adam Shankman,Amy Adams,Patrick Dempsey,Maya Rudolph,Comedy Family Fantasy,disenchanted,Amy Adams Patrick Dempsey Maya Rudolph Adam Shankman Comedy Family Fantasy
Francis Lawrence,Jason Momoa,Marlow Barkley,Chris O'Dowd,Family Fantasy Comedy,slumberland,Jason Momoa Marlow Barkley Chris O'Dowd Francis Lawrence Family Fantasy Comedy
Luca Guadagnino,Taylor Russell,Timothée Chalamet,Michael Stuhlbarg,Drama Horror Romance,bones and all,Taylor Russell Timothée Chalamet Michael Stuhlbarg Luca Guadagnino Drama Horror Romance
Elegance Bratton,Jeremy Pope,Raúl Castillo,McCaul Lombardi,Drama,the inspection,Jeremy Pope Raúl Castillo McCaul Lombardi Elegance Bratton Drama
Stephen Donnelly,Luke Evans,Olivia Colman,Jessie Buckley,Animation Family Fantasy,scrooge: a christmas carol,Luke Evans Olivia Colman Jessie Buckley Stephen Donnelly Animation Family Fantasy
Robert Moresco,Frank Grillo,Romano Reggiani,Matteo Leoni,Drama History,lamborghini: the man behind the legend,Frank Grillo Romano Reggiani Matteo Leoni Robert Moresco Drama History
